ts,src,dst,proto,sport,dport,length,arp_op,arp_psrc,arp_pdst,arp_hwsrc,arp_hwdst,dns_qname,dns_an,dns_ttl
2025-01-01T00:00:00,192.168.1.10,192.168.1.1,ARP,,,60,1,192.168.1.10,192.168.1.1,aa:bb:cc:dd:ee:01,ff:ee:dd:cc:bb:aa,,,,
2025-01-01T00:00:10,192.168.1.10,192.168.1.1,ARP,,,60,1,192.168.1.10,192.168.1.1,aa:bb:cc:dd:ee:99,ff:ee:dd:cc:bb:aa,,,,
2025-01-01T00:00:15,192.168.1.20,8.8.8.8,UDP,53333,53,90,,,,,,,example.com,,
2025-01-01T00:00:16,8.8.8.8,192.168.1.20,UDP,53,53333,120,,,,,,,example.com,93.184.216.34,30
2025-01-01T00:00:25,192.168.1.20,8.8.8.8,UDP,53333,53,90,,,,,,,example.com,,
2025-01-01T00:00:26,8.8.8.8,192.168.1.20,UDP,53,53333,120,,,,,,,example.com,203.0.113.10,45
2025-01-01T00:01:00,10.0.0.5,10.0.0.2,TCP,40000,1,60,,,,,,,,,
2025-01-01T00:01:00,10.0.0.5,10.0.0.2,TCP,40000,2,60,,,,,,,,,
2025-01-01T00:01:00,10.0.0.5,10.0.0.2,TCP,40000,3,60,,,,,,,,,
2025-01-01T00:01:00,10.0.0.5,10.0.0.2,TCP,40000,4,60,,,,,,,,,
2025-01-01T00:01:00,10.0.0.5,10.0.0.2,TCP,40000,5,60,,,,,,,,,
2025-01-01T00:01:00,10.0.0.5,10.0.0.2,TCP,40000,6,60,,,,,,,,,
2025-01-01T00:01:00,10.0.0.5,10.0.0.2,TCP,40000,7,60,,,,,,,,,
2025-01-01T00:01:00,10.0.0.5,10.0.0.2,TCP,40000,8,60,,,,,,,,,
2025-01-01T00:01:00,10.0.0.5,10.0.0.2,TCP,40000,9,60,,,,,,,,,
2025-01-01T00:01:00,10.0.0.5,10.0.0.2,TCP,40000,10,60,,,,,,,,,
2025-01-01T00:02:00,172.16.0.50,172.16.0.1,UDP,12345,80,60,,,,,,,,,
2025-01-01T00:02:00,172.16.0.50,172.16.0.1,UDP,12345,80,60,,,,,,,,,
2025-01-01T00:02:00,172.16.0.50,172.16.0.1,UDP,12345,80,60,,,,,,,,,
2025-01-01T00:02:00,172.16.0.50,172.16.0.1,UDP,12345,80,60,,,,,,,,,
2025-01-01T00:02:00,172.16.0.50,172.16.0.1,UDP,12345,80,60,,,,,,,,,
2025-01-01T00:02:00,172.16.0.50,172.16.0.1,UDP,12345,80,60,,,,,,,,,
2025-01-01T00:02:00,172.16.0.50,172.16.0.1,UDP,12345,80,60,,,,,,,,,
2025-01-01T00:02:00,172.16.0.50,172.16.0.1,UDP,12345,80,60,,,,,,,,,
2025-01-01T00:02:00,172.16.0.50,172.16.0.1,UDP,12345,80,60,,,,,,,,,
2025-01-01T00:02:00,172.16.0.50,172.16.0.1,UDP,12345,80,60,,,,,,,,,
